country,count
"",2
30,1
33,1
36,1
38,2
39,2
41,2
43,4
45,1
47,3
49,3
50,3
51,6
52,5
53,3
54,2
55,5
56,7
57,6
58,8
59,8
60,7
61,4
62,2
63,3
64,3
65,6
66,4
67,6
68,6
69,7
70,4
71,3
72,8
73,4
74,9
75,5
76,3
77,6
78,5
79,3
80,8
81,3
82,4
83,6
84,2
85,3
86,2
87,3
88,2
90,3
91,1
92,2
93,2
94,1
95,2
98,1
99,1
